Hiragana,Romaji,Meaning,Example 1 JP,Example 1 EN,Example 2 JP,Example 2 EN
雨,ame,rain,雨が降っています。,It is raining.,大雨で外に出られません。,I can't go outside because of the heavy rain.
犬,inu,dog,犬が走っています。,The dog is running.,私の犬はとてもかわいいです。,My dog is very cute.
海,umi,sea,海に行きたいです。,I want to go to the sea.,海の水は冷たいです。,The sea water is cold.
駅,eki,station,駅で友達を待っています。,I'm waiting for my friend at the station.,この駅はとても大きいです。,This station is very big.
お金,okane,money,お金を使いすぎました。,I spent too much money.,お金を貯めています。,I am saving money.
傘,kasa,umbrella,傘を持っていきます。,I will bring an umbrella.,傘を忘れました。,I forgot my umbrella.
北,kita,north,北に山があります。,There is a mountain in the north.,北風が強いです。,The north wind is strong.
雲,kumo,cloud,空に雲があります。,There are clouds in the sky.,黒い雲が見えます。,I can see dark clouds.
煙,kemuri,smoke,煙が上がっています。,Smoke is rising.,火事でたくさんの煙が出ました。,A lot of smoke came out from the fire.
子供,kodomo,child,子供が遊んでいます。,The child is playing.,子供は学校に行きます。,Children go to school.
桜,sakura,cherry blossom,桜が咲きました。,The cherry blossoms have bloomed.,桜の下で写真を撮りました。,I took a photo under the cherry blossoms.
白,shiro,white,白いシャツを着ています。,I am wearing a white shirt.,雪は白いです。,Snow is white.
寿司,sushi,sushi,寿司を食べました。,I ate sushi.,寿司が大好きです。,I love sushi.
先生,sensei,teacher,先生に聞いてください。,Please ask the teacher.,先生はとても親切です。,The teacher is very kind.
外,soto,outside,外に出ましょう。,Let's go outside.,外は寒いです。,It's cold outside.
卵,tamago,egg,卵を買いました。,I bought eggs.,卵料理が好きです。,I like egg dishes.
地図,chizu,map,地図を見せてください。,Please show me the map.,地図で道を探しました。,I looked for the road on the map.
津波,tsunami,tsunami,津波が来ました。,A tsunami came.,津波のニュースを見ました。,I saw news about the tsunami.
手紙,tegami,letter,手紙を書きました。,I wrote a letter.,友達から手紙をもらいました。,I received a letter from a friend.
友達,tomodachi,friend,友達と話しました。,I talked with my friend.,友達と映画を見ました。,I watched a movie with my friend.
夏,natsu,summer,夏が好きです。,I like summer.,夏はとても暑いです。,Summer is very hot.
日本,nihon,Japan,日本に行きたいです。,I want to go to Japan.,日本の文化は面白いです。,Japanese culture is interesting.
布,nuno,cloth,布を切りました。,I cut the cloth.,この布は柔らかいです。,This cloth is soft.
招き猫,neko,beckoning cat,招き猫を買いました。,I bought a beckoning cat.,店に招き猫があります。,There is a beckoning cat in the shop.
飲み物,nomimono,drink,飲み物を買いました。,I bought a drink.,冷たい飲み物が欲しいです。,I want a cold drink.
花,hana,flower,花がきれいです。,The flowers are beautiful.,花を飾りました。,I decorated with flowers.
飛行機,hikouki,airplane,飛行機に乗りました。,I rode an airplane.,飛行機が空を飛んでいます。,The airplane is flying in the sky.
船,fune,ship,船で旅行します。,I will travel by ship.,大きな船を見ました。,I saw a big ship.
部屋,heya,room,部屋を掃除しました。,I cleaned my room.,部屋は広いです。,The room is spacious.
星,hoshi,star,星が光っています。,The stars are shining.,夜空に星が見えます。,I can see stars in the night sky.
窓,mado,window,窓を開けてください。,Please open the window.,窓から外が見えます。,I can see outside from the window.
道,michi,road,道を渡ります。,I will cross the road.,この道は長いです。,This road is long.
虫,mushi,insect,虫が飛んでいます。,An insect is flying.,虫が苦手です。,I don't like insects.
眼鏡,megane,glasses,眼鏡をかけています。,I wear glasses.,新しい眼鏡を買いました。,I bought new glasses.
森,mori,forest,森を歩きました。,I walked in the forest.,森にはたくさんの動物がいます。,There are many animals in the forest.
空手,kara,karate,空手を習っています。,I am learning karate.,空手の試合を見ました。,I watched a karate match.
りんご,ringo,apple,りんごを食べました。,I ate an apple.,赤いりんごが好きです。,I like red apples.
留守,rusu,absence,留守番をしています。,I am house-sitting.,母は今留守です。,My mother is not at home now.
冷蔵庫,reizouko,refrigerator,冷蔵庫に牛乳があります。,There is milk in the refrigerator.,新しい冷蔵庫を買いました。,I bought a new refrigerator.
蝋燭,rousoku,candle,蝋燭をつけました。,I lit a candle.,蝋燭の光がきれいです。,The candlelight is beautiful.
