Japanese sentence,Romaji,Meaning,section,chapter
おはよう（ございます）,ohayoo (gozaimasu),Good morning.,1,1
こんにちは,konnichiwa,Good afternoon.,1,1
こんばんは,konbanwa,Good evening.,1,1
お先に失礼します,osaki ni shitsureeshimasu,Goodbye. (I'll take my leave before you.),1,2
お疲れさま（でした）,otsukaresama (deshita),Goodbye. (Thank you for your hard work.),1,2
おやすみ（なさい）,oyasumi (nasai),Good night. ,1,2
失礼します,shitsureeshimasu,Goodbye.,1,2
じゃあ、また,"jaa, mata",See you later.,1,2
あめ,ame,candy,1,3
ありがとうございます,arigatoo gozaimasu,Thank you.,1,3
いいえ,iie,You're welcome.,1,3
痛い！,itai !,Ouch！,1,3
落としましたよ,otoshimashita yo,You dropped this.,1,3
ごめん,gomen,Sorry.,1,3
これ,kore,this,1,3
すみません,sumimasen,Thank you.,1,3
すみません,sumimasen,I'm sorry.,1,3
どうぞ,doozo,Here you go.,1,3
どうも,doomo,Thanks.,1,3
（どうも）ありがとう,(doomo) arigatoo,Thank you very much.,1,3
プレゼント,purezento,present,1,3
わあ,waa,Oh! (expresses surprise),1,3
おめでとうございます,omedetoo gozaimasu,Congratulations.,1,4
わかりました,wakarimashita,I understand.,1,4
1,ichi,one,2,1
言ってください,itte kudasai,Please say ～.,2,1
お願いします,onegaishimasu,Please. ,2,1
書いてください,kaite kudasai,Please write ～.,2,1
9,kyuu,nine,2,1
5,go,five,2,1
ここ,koko,here,2,1
在留カード,zairyuu-kaado,residence card,2,1
3,san,three,2,1
10,juu,ten,2,1
0,zero,zero,2,1
7,nana,seven,2,1
名前,namae,name,2,1
2,ni,two,2,1
8,hachi,eight,2,1
部屋,heya,room,2,1
見せてください,misete kudasai,Please show me ～.,2,1
もういちど,moo ichido,once more,2,1
もう少し,moo sukoshi,a little.,2,1
ゆっくり,yukkuri,slowly,2,1
よく,yoku,(not) really,2,1
4,yon,four,2,1
6,roku,six,2,1
わかりました,wakarimashita,I understand.,2,1
わかりません,wakarimasen,I do not understand.,2,1
あのう,anoo,Um… (used when the speaker wants to start talking to someone),2,2
インドネシア語,indoneshiago,Indonesian language,2,2
英語,eego,English language,2,2
お客さん,okyakusan,customer (used to address a customer if their name isn't known),2,2
じゃあ,jaa,Well then…,2,2
少し,sukoshi,a little / a few,2,2
中国語,chuugokugo,Chinese language,2,2
できます,dekimasu,I can speak / understand it.,2,2
できますか？,dekimasu ka?,Can you speak it?,2,2
日本語,nihongo,Japanese language,2,2
はい,hai,yes,2,2
はい、どうぞ,"hai, doozo",Here you go.,2,2
わかります,wakarimasu,I understand.,2,2
わかりますか？,wakarimasu ka?,Do you understand?,2,2
え？,e?,Huh? / What? / Pardon?,2,3
蚊,ka,mosquito,2,3
傘,kasa,umbrella,2,3
消しゴム,keshigomu,eraser,2,3
スマホ,sumaho,smartphone,2,3
そうそう,soo soo,That's right.,2,3
何,nan,what,2,3
何ですか？,nan desu ka?,What is it?,2,3
何と言いますか？,nan to iimasu ka?,What do you call it?,2,3
日本語で,nihongo de,in Japanese,2,3
免許証,menkyoshoo,license,2,3
～から来ました,～kara kimashita,came　from ～,3,1
韓国,Kankoku,South Korea,3,1
来る／来ます,kuru / kimas,to come,3,1
タイ,Tai,Thailand,3,1
（どうぞ）よろしくお願いします,(doozo) yoroshiku onegaishimasu,Nice to meet you.,3,1
はじめまして,hajimemashite,Hello. (said when meeting someone for the first time),3,1
ブラジル,Burajiru,Brazil,3,1
ミャンマー,Myanmaa,Myanmar,3,1
私,watashi,I / myself,3,1
